Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Ekuador,M Calceido,Pass,0,34,55,55,32,56
Qatar,Akram Afif,Dribble,1,25,46,3,50,23
Ekuador,M Calceido,Dribble,1,53,46,52,35,59
Ekuador,Enner Valencia,Shot,2,55,5,53,1,52
Ekuador,M Calceido,Dribble,4,12,63,78,59,83
Ekuador,M Calceido,Pass,4,14,56,81,50,88
Ekuador,M Calceido,Pass,4,36,64,70,77,65
Ekuador,M Calceido,Pass,4,40,63,71,56,91
Ekuador,Enner Valencia,Pass,5,16,9,43,13,34
Ekuador,Enner Valencia,Pass,6,24,12,57,18,61
Ekuador,Enner Valencia,Pass,6,25,14,83,21,75
Ekuador,Enner Valencia,Pass,6,29,25,82,26,67
Ekuador,M Calceido,Dribble,6,39,45,63,38,54
Ekuador,M Calceido,Pass,6,41,40,59,45,25
Ekuador,Enner Valencia,Pass,6,53,22,92,19,85
Ekuador,M Calceido,Pass,8,24,38,73,47,88
Ekuador,M Calceido,Pass,8,24,55,29,35,47
Ekuador,Enner Valencia,Dribble,8,24,13,51,8,54
Ekuador,Enner Valencia,Shot,9,45,11,50,2,47
Ekuador,Enner Valencia,Pass,11,10,24,92,31,87
Ekuador,M Calceido,Pass,11,20,44,58,34,56
Ekuador,Enner Valencia,Pass,11,46,27,34,20,39
Qatar,Akram Afif,Pass,11,50,46,17,37,14
Ekuador,Enner Valencia,Pass,12,20,31,24,26,17
Ekuador,M Calceido,Pass,12,41,63,58,72,61
Ekuador,M Calceido,Pass,12,41,73,48,57,84
Qatar,Akram Afif,Pass,14,29,62,5,91,9
Ekuador,Enner Valencia,Pass,15,3,21,42,25,48
Ekuador,M Calceido,Pass,15,15,29,62,24,82
Ekuador,M Calceido,Pass,16,9,67,53,73,65
Ekuador,M Calceido,Pass,16,51,65,88,75,78
Ekuador,M Calceido,Dribble,17,34,63,54,70,56
Ekuador,M Calceido,Pass,17,36,70,57,81,64
Ekuador,M Calceido,intercept,18,17,44,77,50,84
Ekuador,Enner Valencia,Dribble,19,17,27,4,20,4
Ekuador,M Calceido,Dribble,20,10,43,72,25,42
Ekuador,M Calceido,Dribble,20,14,13,15,16,15
Ekuador,M Calceido,Pass,20,26,11,11,25,16
Ekuador,Enner Valencia,Shot,20,35,10,59,2,54
Qatar,Akram Afif,Pass,21,10,33,51,42,28
Ekuador,M Calceido,Pass,22,52,47,45,39,45
Qatar,Akram Afif,Pass,24,17,31,40,32,60
Ekuador,M Calceido,Dribble,24,36,65,67,49,57
Ekuador,M Calceido,Pass,24,39,49,55,38,48
Qatar,Akram Afif,Pass,26,27,28,44,38,38
Qatar,Akram Afif,Pass,27,25,34,52,22,71
Qatar,Akram Afif,Dribble,28,14,61,47,66,44
Qatar,Akram Afif,Pass,28,14,65,48,59,24
Ekuador,M Calceido,Pass,28,14,82,63,75,74
Ekuador,M Calceido,Pass,28,14,59,82,58,92
Qatar,Akram Afif,Dribble,28,14,54,24,60,27
Qatar,Akram Afif,Pass,28,14,59,26,45,8
Qatar,Akram Afif,Pass,28,14,35,71,25,61
Qatar,Akram Afif,Pass,28,14,53,47,34,47
Qatar,Akram Afif,Pass,28,14,36,58,44,81
Qatar,Akram Afif,Pass,28,14,30,61,52,48
Qatar,Akram Afif,Pass,28,24,65,13,49,46
Ekuador,M Calceido,Pass,30,37,66,44,77,62
Ekuador,M Calceido,Pass,30,54,61,28,70,2
Ekuador,M Calceido,Pass,31,2,71,12,39,16
Qatar,Almoez Ali,Shot,43,57,90,57,99,59
Ekuador,M Calceido,Dribble,44,23,64,19,58,14
Ekuador,M Calceido,Pass,44,31,61,14,38,12
Qatar,Akram Afif,Pass,44,51,14,95,37,83
Qatar,Akram Afif,Pass,44,59,29,63,30,51
Qatar,Almoez Ali,Pass,45,22,24,50,39,50
Qatar,Akram Afif,Dribble,45,27,37,50,28,49
Qatar,Akram Afif,Pass,45,29,26,48,19,54
Ekuador,Enner Valencia,Dribble,45,57,74,39,82,35
Qatar,Akram Afif,Pass,47,18,55,52,71,56
Qatar,Akram Afif,Pass,47,20,54,74,62,59
Ekuador,Enner Valencia,Pass,48,2,82,53,87,59
Ekuador,M Calceido,intercept,48,21,52,72,59,78
Qatar,Almoez Ali,Pass,49,12,35,21,39,15
Qatar,Akram Afif,Dribble,49,48,62,70,54,52
Qatar,Akram Afif,Pass,49,51,54,55,49,42
Ekuador,Enner Valencia,intercept,50,12,54,54,57,46
Ekuador,M Calceido,Pass,50,27,61,47,68,56
Qatar,Akram Afif,Dribble,50,51,65,47,63,44
Qatar,Akram Afif,Pass,50,54,61,40,68,34
Qatar,Akram Afif,Dribble,53,3,69,48,56,54
Qatar,Akram Afif,Pass,53,5,55,54,51,75
Qatar,Akram Afif,Pass,53,9,51,87,59,86
Ekuador,M Calceido,Pass,53,23,27,82,47,63
Ekuador,Enner Valencia,Dribble,53,32,58,75,83,63
Ekuador,Enner Valencia,Dribble,53,35,85,81,95,89
Qatar,Akram Afif,Pass,54,11,83,75,89,65
Ekuador,M Calceido,Pass,54,58,28,35,36,19
Ekuador,M Calceido,Pass,55,56,42,19,36,9
Ekuador,M Calceido,Pass,56,12,46,34,43,19
Ekuador,M Calceido,Pass,56,25,46,25,47,13
Ekuador,M Calceido,Pass,56,30,44,17,38,13
Ekuador,M Calceido,Pass,59,17,22,28,18,23
Ekuador,M Calceido,Dribble,60,23,54,29,50,21
Ekuador,M Calceido,Pass,60,25,51,22,43,14
Qatar,Akram Afif,Pass,61,23,46,52,55,47
Qatar,Almoez Ali,Pass,64,49,31,26,37,22
Ekuador,M Calceido,Pass,65,38,39,50,45,60
Qatar,Akram Afif,Pass,65,59,72,78,61,69
Ekuador,Enner Valencia,Pass,66,13,72,73,84,81
Ekuador,M Calceido,Pass,66,27,56,74,38,61
Ekuador,M Calceido,Dribble,67,3,54,26,60,27
Qatar,Akram Afif,Pass,71,14,51,69,61,64
Qatar,Akram Afif,Shot,71,41,24,60,2,43
Ekuador,M Calceido,Pass,73,57,57,68,76,32
Ekuador,M Calceido,Dribble,74,21,31,71,31,63
Ekuador,M Calceido,Pass,74,23,31,59,40,43
Ekuador,M Calceido,Pass,75,37,43,22,46,18
Ekuador,M Calceido,Pass,76,16,68,20,74,32
Ekuador,M Calceido,Pass,77,34,74,49,82,65
Qatar,Akram Afif,Dribble,80,40,40,26,47,10
Qatar,Akram Afif,Pass,80,43,47,8,66,19
Qatar,Akram Afif,Dribble,81,9,35,5,29,3
Qatar,Akram Afif,Cross,82,43,9,15,5,37
Qatar,Akram Afif,Pass,83,54,30,28,35,30
Qatar,Akram Afif,Cross,88,8,2,96,5,49
